GEO_ID,NAME,EstimateTotal,ErrorMargin,RetirementIncome,RetirementIncomeErr,NoRetirementIncome,NoRetirementIncomeErr
0600000US4100190204,"Baker City CCD, Baker County, Oregon",4532,232,1289,140,3243,257
0600000US4100190969,"Eagle Valley CCD, Baker County, Oregon",457,78,158,54,299,66
0600000US4100191258,"Halfway CCD, Baker County, Oregon",522,75,198,47,324,69
0600000US4100191326,"Hereford CCD, Baker County, Oregon",396,79,134,45,262,75
0600000US4100191377,"Huntington CCD, Baker County, Oregon",213,50,55,27,158,45
0600000US4100193555,"Wingville-Haines CCD, Baker County, Oregon",801,81,304,76,497,78
0600000US4100390680,"Corvallis CCD, Benton County, Oregon",27693,487,5233,400,22460,516
0600000US4100392142,"North Albany CCD, Benton County, Oregon",3526,175,882,173,2644,213
0600000US4100392176,"North Benton CCD, Benton County, Oregon",1602,103,371,73,1231,112
0600000US4100393009,"Southeast Benton CCD, Benton County, Oregon",1557,109,324,72,1233,113
0600000US4100393077,"Southwest Benton CCD, Benton County, Oregon",1340,89,336,71,1004,102
0600000US4100590272,"Beavercreek CCD, Clackamas County, Oregon",2799,79,755,121,2044,119
0600000US4100590442,"Canby CCD, Clackamas County, Oregon",7042,248,1621,174,5421,267
0600000US4100590595,"Colton CCD, Clackamas County, Oregon",1783,120,616,117,1167,128
0600000US4100591088,"Estacada CCD, Clackamas County, Oregon",5889,348,1466,291,4423,374
0600000US4100591955,"Molalla CCD, Clackamas County, Oregon",4773,207,943,143,3830,193
0600000US4100592023,"Mount Hood CCD, Clackamas County, Oregon",4252,285,1248,188,3004,297
0600000US4100592040,"Mulino CCD, Clackamas County, Oregon",1764,117,675,128,1089,147
0600000US4100592261,"Northwest Clackamas CCD, Clackamas County, Oregon",105507,926,23210,790,82297,1096
0600000US4100592618,"Redland CCD, Clackamas County, Oregon",2371,152,851,189,1520,228
0600000US4100592788,"Sandy CCD, Clackamas County, Oregon",8110,295,1773,235,6337,310
0600000US4100593536,"Wilsonville CCD, Clackamas County, Oregon",10776,365,2226,288,8550,454
0600000US4100593587,"Yoder CCD, Clackamas County, Oregon",2342,133,621,167,1721,203
0600000US4100790153,"Astoria CCD, Clatsop County, Oregon",10677,300,2967,235,7710,328
0600000US4100791445,"Jewell CCD, Clatsop County, Oregon",458,68,98,36,360,61
0600000US4100791598,"Knappa-Brownsmead CCD, Clatsop County, Oregon",786,86,299,78,487,94
0600000US4100792839,"Seaside CCD, Clatsop County, Oregon",3879,276,1018,223,2861,277
0600000US4100990544,"Clatskanie CCD, Columbia County, Oregon",2611,135,634,157,1977,172
0600000US4100991190,"Goble CCD, Columbia County, Oregon",930,81,329,82,601,83
0600000US4100992601,"Rainier CCD, Columbia County, Oregon",1727,119,531,99,1196,146
0600000US4100992703,"St. Helens CCD, Columbia County, Oregon",9160,293,2443,276,6717,282
0600000US4100992805,"Scappoose CCD, Columbia County, Oregon",3910,201,869,140,3041,193
0600000US4100993332,"Vernonia CCD, Columbia County, Oregon",1333,102,372,90,961,114
0600000US4101190221,"Bandon CCD, Coos County, Oregon",3043,257,928,204,2115,257
0600000US4101190629,"Coos Bay CCD, Coos County, Oregon",13170,499,3710,337,9460,460
0600000US4101190646,"Coquille CCD, Coos County, Oregon",3403,211,1166,202,2237,235
0600000US4101191003,"Eastside CCD, Coos County, Oregon",2384,128,831,127,1553,146
0600000US4101192074,"Myrtle Point CCD, Coos County, Oregon",2006,181,499,100,1507,189
0600000US4101192159,"North Bayside CCD, Coos County, Oregon",2489,227,834,141,1655,230
0600000US4101192567,"Powers CCD, Coos County, Oregon",530,132,151,83,379,94
0600000US4101390765,"Crooked River CCD, Crook County, Oregon",1816,169,686,135,1130,160
0600000US4101392550,"Powell Butte CCD, Crook County, Oregon",965,151,391,117,574,145
0600000US4101392592,"Prineville CCD, Crook County, Oregon",6807,255,1980,280,4827,289
0600000US4101590051,"Agness CCD, Curry County, Oregon",30,36,0,12,30,36
0600000US4101590357,"Brookings CCD, Curry County, Oregon",4010,264,1151,239,2859,284
0600000US4101591207,"Gold Beach CCD, Curry County, Oregon",2575,228,815,178,1760,232
0600000US4101591275,"Harbor CCD, Curry County, Oregon",2557,212,1067,210,1490,231
0600000US4101592533,"Port Orford CCD, Curry County, Oregon",1374,148,335,96,1039,137
