GEO_ID,NAME,Gini_Index_2010,Gini_Index_2019,Total_Population_2010,Total_Population_2019,Civilians_Employed_Over_16_2012,Civilians_Employed_Over16_2019,Number_Employed_NAICS11_Industry_2012,Number_Employed_NAICS11_Industry_2019,Number_Employed_NAICS71_Industry_2012,Number_Employed_NAICS71_Industry_2019,Population_Poverty_Status_Determined2012,Population_Poverty_Status_Determined2019,Percent_Population_Poverty_Status_Determined2012,Percent_Population_Poverty_Status_Determined2019,Number_Households_2012,Number_Households_2019,Median_Income_Households_2012,Median_Income_Households_2019,Population_18to24years_2012,Population_18to24years_2019,pct_less_than_highschool_graduate_2012,pct_less_than_highschool_graduate_2019,pct_highschool_graduate_equivalency_2012,pct_highschool_graduate_equivalency_2019,pct_some_college_associates_degree_2012,pct_some_college_associates_2019,pct_bachelors_degree_higher_2012,Population_25years_older_2012,Population_25years_older_2019,pct_highschool_graduate_or_higher_2012,pct_highschool_graduate_higher_2019,pct_bachelors_degree_or_higher_2012,pct_bachelors_degree_higher_2019,RetireTotal,RetirementIncome,NoRetirementIncome
0600000US4100190204,"Baker City CCD, Baker County, Oregon",0.429,0.4388,10865,10773,4262,4197,286,311,469,296,10551,10214,22.2,12,4672,4532,37005,45133,842,799,34.3,14.4,29.7,33.8,32.4,41.8,3.6,7735,7764,85.8,90.9,19.3,24.4,4532,1289,3243
0600000US4100190969,"Eagle Valley CCD, Baker County, Oregon",0.555,0.4747,819,996,238,321,44,143,18,0,699,986,13.4,13.8,386,457,31875,47847,7,24,85.7,20.8,14.3,54.2,0,25,0,588,823,92.7,92.1,21.6,18.1,457,158,299
0600000US4100191258,"Halfway CCD, Baker County, Oregon",0.446,0.4092,1143,1120,410,369,48,25,52,22,1076,1120,17.8,9.6,529,522,34788,44643,54,29,13,0,53.7,37.9,33.3,0,0,848,870,92.6,96.9,28.4,30.2,522,198,324
0600000US4100191326,"Hereford CCD, Baker County, Oregon",0.468,0.4894,744,779,250,298,63,36,20,3,679,779,15.9,19,378,396,41500,33917,0,12,-,16.7,-,58.3,-,25,-,644,677,93.2,91.6,19.7,9.3,396,134,262
0600000US4100191377,"Huntington CCD, Baker County, Oregon",0.402,0.5025,677,438,148,140,59,17,35,28,555,435,31.4,16.1,243,213,31161,35313,25,12,32,8.3,36,33.3,32,58.3,0,414,362,77.8,73.5,8.5,10.8,213,55,158
0600000US4100193555,"Wingville-Haines CCD, Baker County, Oregon",0.4,0.4767,1902,1913,1094,753,197,107,16,84,2051,1912,7.1,12.2,866,801,59324,63109,109,35,21.1,0,23.9,0,55,20,0,1584,1478,95.8,91.1,25.3,29.2,801,304,497
0600000US4100390680,"Corvallis CCD, Benton County, Oregon",0.495,0.5014,64621,69556,31468,34247,1104,666,3416,3849,61193,63948,26,23.1,25936,27693,41612,56324,18730,19362,4.2,2.3,11.1,13.1,72.4,70.5,12.3,36621,40147,94.3,96,52.2,57.9,27693,5233,22460
0600000US4100392142,"North Albany CCD, Benton County, Oregon",0.354,0.3667,8208,9584,3756,4324,41,63,164,268,8247,9571,2.3,4.4,3156,3526,77336,100357,670,787,16.6,7.4,40.9,32.7,30.6,49.7,11.9,5740,6596,95.6,98,44.7,49.8,3526,882,2644
0600000US4100392176,"North Benton CCD, Benton County, Oregon",0.353,0.4219,4226,4417,1887,2144,103,58,48,128,4089,4417,8.3,5.6,1554,1602,77125,80000,134,286,20.9,20.6,20.1,22.4,49.3,40.2,9.7,3022,3193,95.4,96.2,45.6,47.9,1602,371,1231
0600000US4100393009,"Southeast Benton CCD, Benton County, Oregon",0.43,0.4348,3824,4042,1816,1757,295,429,56,91,3915,4030,17.3,12.3,1547,1557,52022,64943,219,234,20.5,7.3,56.2,47,23.3,32.1,0,2799,2820,87.3,88.4,22.8,32.4,1557,324,1233
0600000US4100393077,"Southwest Benton CCD, Benton County, Oregon",0.385,0.3843,3279,3508,1396,1554,121,245,92,115,3154,3503,9.4,10.1,1309,1340,53156,76250,190,165,24.2,23.6,20.5,24.8,43.2,46.1,12.1,2381,2603,93.2,97.5,37.7,38.8,1340,336,1004
0600000US4100590272,"Beavercreek CCD, Clackamas County, Oregon",0.421,0.4235,6607,7582,3107,3507,93,202,118,223,5972,7531,10.6,9.7,2429,2799,75958,93279,412,439,11.4,2.5,48.8,17.8,39.8,53.1,0,4521,5415,93.7,91.9,16.1,31,2799,755,2044
0600000US4100590442,"Canby CCD, Clackamas County, Oregon",0.401,0.384,17786,19560,7848,9642,401,611,514,712,17895,19413,11.9,8.7,6379,7042,55986,73757,1509,1239,23.1,9.8,41.1,31.1,34.8,53.5,1,11565,13342,86.9,87.3,26.2,26.2,7042,1621,5421
0600000US4100590595,"Colton CCD, Clackamas County, Oregon",0.393,0.3879,4978,5083,2195,2327,59,77,129,90,4775,5068,5.2,10.6,1667,1783,59543,70757,408,398,8.6,8.8,53.4,50.8,33.1,40.5,4.9,3403,3564,90.7,94.5,15.4,20.8,1783,616,1167
0600000US4100591088,"Estacada CCD, Clackamas County, Oregon",0.417,0.412,16519,15610,7535,7528,342,183,464,505,16604,15596,11.9,8,5668,5889,61848,72458,1341,1224,26.7,24.3,32.6,33.9,31,37.8,9.7,11424,11738,87,88.8,18.2,19.9,5889,1466,4423
0600000US4100591955,"Molalla CCD, Clackamas County, Oregon",0.366,0.3949,11815,13370,5788,6131,322,304,382,193,12640,13162,8.9,11.8,4680,4773,53972,66434,1131,828,28.2,22.6,38.7,37,25.6,40.5,7.4,8157,8839,86.4,90.6,11.1,16.2,4773,943,3830
0600000US4100592023,"Mount Hood CCD, Clackamas County, Oregon",0.381,0.4188,9481,10321,4783,4731,140,164,720,576,9284,10282,8.7,11.5,3927,4252,65804,79383,480,547,5,14.3,49,34.6,38.8,51.2,7.3,7182,8254,94.1,92.7,23.9,24.2,4252,1248,3004
0600000US4100592040,"Mulino CCD, Clackamas County, Oregon",0.391,0.398,4820,4960,2479,2126,55,88,127,57,5305,4951,12.3,9.4,1753,1764,71354,82672,414,340,19.3,12.4,44.2,43.5,33.3,41.8,3.1,3648,3630,89.2,91.8,26.8,24.9,1764,675,1089
0600000US4100592261,"Northwest Clackamas CCD, Clackamas County, Oregon",0.448,0.4541,246700,272938,119765,137990,608,938,8872,11674,248476,270637,9.7,7.6,97549,105507,65403,82525,19920,21171,13.4,14.5,33.9,33.8,41.8,39.9,10.9,171973,192580,93.5,94.2,35.9,42.3,105507,23210,82297
0600000US4100592618,"Redland CCD, Clackamas County, Oregon",0.419,0.3977,6207,6009,2872,3000,0,140,180,254,6051,6009,6.2,5.9,2259,2371,81058,81440,423,376,7.6,20.7,48.5,21.5,33.6,54.5,10.4,4512,4692,90.8,99.4,26.7,35.2,2371,851,1520
0600000US4100592788,"Sandy CCD, Clackamas County, Oregon",0.44,0.3984,18917,22333,8858,10925,244,474,750,706,19070,22215,8.1,8.1,7384,8110,60529,78138,1058,1638,17.9,12,36.2,42.6,43,41.5,2.9,13565,15511,93.2,91.4,18.4,18.8,8110,1773,6337
0600000US4100593536,"Wilsonville CCD, Clackamas County, Oregon",0.448,0.4764,20339,25921,10552,13512,193,441,919,1015,21664,25690,8.7,9.2,9033,10776,57427,76123,1990,2441,12.7,10,23.7,32.2,45.3,38.1,18.2,14559,17715,92.9,96,41.2,48.7,10776,2226,8550
0600000US4100593587,"Yoder CCD, Clackamas County, Oregon",0.378,0.3699,6310,6776,3047,3365,267,386,161,189,6962,6761,10.4,2.8,2276,2342,65495,81944,449,581,8.2,4.5,37.4,42.7,41,52.8,13.4,4430,4941,85,88.9,23.3,26.2,2342,621,1721
0600000US4100790153,"Astoria CCD, Clatsop County, Oregon",0.44,0.4088,25351,26535,11919,11976,547,499,1878,1842,24608,26117,15,9.4,10593,10677,45251,57001,2240,1897,22.8,27.4,28.8,36.4,40.9,32.3,7.5,17745,19451,92.7,92,22.1,25.4,10677,2967,7710
0600000US4100791445,"Jewell CCD, Clatsop County, Oregon",0.385,0.5109,1065,1353,411,535,58,32,59,90,1015,1332,15.1,16,425,458,36875,53043,72,87,75,3.4,25,66.7,0,29.9,0,706,905,89.9,85.4,8.4,16,458,98,360
