"","OBJECTID","Value","Count","OBJECTID_1","Realm_WE_ID","WE_ID","Realm_ID","Realm_Class","World_Landform_Class","World_Moisture_Class","World_Temperature_Class","World_Landcover_Class","Realm_ClassName","LF_ClassName","LC_ClassName","Temp_ClassName","Moisture_ClassName","Temp_MoistureClassName","World_Ecosystem","Realm_World_Ecosystem","Landcover_Type"
"651",651,5005,23029131,565,5005,5,5000,5,1,3,6,6,"Nearctic","Mountains","Sparsley or Non vegetated","Polar","Moist","Polar Moist","Polar Moist Sparsley or Non vegetated on Mountains","Nearctic Polar Moist Sparsley or Non vegetated on Mountains","Natural"
"652",652,5006,9151721,572,5006,6,5000,5,1,3,6,8,"Nearctic","Mountains","Snow and Ice","Polar","Moist","Polar Moist","Polar Moist Snow and Ice on Mountains","Nearctic Polar Moist Snow and Ice on Mountains","Natural"
"664",664,5018,1022329,615,5018,18,5000,5,1,3,6,4,"Nearctic","Mountains","Grassland","Polar","Moist","Polar Moist","Polar Moist Grassland on Mountains","Nearctic Polar Moist Grassland on Mountains","Natural"
"671",671,5025,439021,648,5025,25,5000,5,1,3,6,2,"Nearctic","Mountains","Shrubland","Polar","Moist","Polar Moist","Polar Moist Shrubland on Mountains","Nearctic Polar Moist Shrubland on Mountains","Natural"
"675",675,5029,660953,669,5029,29,5000,5,1,3,6,3,"Nearctic","Mountains","Forest","Polar","Moist","Polar Moist","Polar Moist Forest on Mountains","Nearctic Polar Moist Forest on Mountains","Natural"
"697",697,5051,7397737,719,5051,51,5000,5,1,3,1,6,"Nearctic","Mountains","Sparsley or Non vegetated","Boreal","Moist","Boreal Moist","Boreal Moist Sparsley or Non vegetated on Mountains","Nearctic Boreal Moist Sparsley or Non vegetated on Mountains","Natural"
"700",700,5054,6509238,726,5054,54,5000,5,1,3,1,2,"Nearctic","Mountains","Shrubland","Boreal","Moist","Boreal Moist","Boreal Moist Shrubland on Mountains","Nearctic Boreal Moist Shrubland on Mountains","Natural"
"701",701,5055,21187356,729,5055,55,5000,5,1,3,1,3,"Nearctic","Mountains","Forest","Boreal","Moist","Boreal Moist","Boreal Moist Forest on Mountains","Nearctic Boreal Moist Forest on Mountains","Natural"
"702",702,5056,3537320,732,5056,56,5000,5,1,3,1,4,"Nearctic","Mountains","Grassland","Boreal","Moist","Boreal Moist","Boreal Moist Grassland on Mountains","Nearctic Boreal Moist Grassland on Mountains","Natural"
"712",712,5067,30005,34,5067,67,5000,5,1,3,1,1,"Nearctic","Mountains","Cropland","Boreal","Moist","Boreal Moist","Boreal Moist Cropland on Mountains","Nearctic Boreal Moist Cropland on Mountains","Converted"
