"AFFGEOID","long","lat","cluster","pvalue","realm","er_fraction","X1","X2","Civilians_Employed_Over_16_delta","Gini_Index_delta","Median_Income_Households_delta","Number_Employed_NAICS11_Industry_delta","Number_Employed_NAICS71_Industry_delta","Number_Households_delta","pct_bachelors_degree_higher_delta","pct_highschool_graduate_equivalency_delta","pct_highschool_graduate_or_higher_delta","pct_less_than_highschool_graduate_delta","pct_some_college_associates_degree_delta","Percent_Population_Poverty_Status_Determined_delta","Population_18to24years_delta","Population_25years_older_delta","Population_Poverty_Status_Determined_delta","Total_Population_delta","RetireTotal","RetirementIncome","NoRetirementIncome"
"0600000US4100190204",-117.713835101826,44.758783818204,3,0.636871185347498,"Cool Temperate Moist Forest on Mountains",0.614476678043231,0.0918553132062207,0.224401342441987,-65,0.00980000000000003,8128,25,-173,-140,5.1,4.1,5.10000000000001,-19.9,9.4,-10.2,-43,29,-337,-92,4532,1289,3243
"0600000US4100190969",-117.346944611165,44.7905508728897,2,0.338685852111697,"Cool Temperate Moist Forest on Mountains",0.331476323119777,-0.582300468805655,0.305226902090758,83,-0.0803,15972,99,-18,71,-3.5,39.9,-0.600000000000009,-64.9,25,0.4,17,235,287,177,457,158,299
"0600000US4100191258",-117.057660374042,44.9588908559638,5,0.779417912263318,"Cool Temperate Moist Forest on Mountains",0.490584452864852,-0.300314600545564,0.313307246616097,-41,-0.0368,9855,-23,-30,-7,1.8,-15.8,4.30000000000001,-13,-33.3,-8.2,-25,22,44,-23,522,198,324
"0600000US4100191377",-117.445580433424,44.4409492340332,4,0.803290279730782,"Cool Temperate Moist Forest on Mountains",0.763684326225544,0.276673373066843,-0.488344934826239,-8,0.1005,4152,-42,-7,-30,2.3,-2.7,-4.3,-23.7,26.3,-15.3,-13,-52,-120,-239,213,55,158
"0600000US4100193555",-118.055306303975,44.8761269141807,4,0.881034838769448,"Cool Temperate Moist Forest on Mountains",0.739987771323754,0.247875916030739,-0.485402059919646,-341,0.0767,3785,-90,68,-65,3.9,-23.9,-4.7,-21.1,-35,5.1,-74,-106,-139,11,801,304,497
"0600000US4100390680",-123.298507308308,44.5848816454769,8,0.672401853730268,"Cool Temperate Moist Forest on Mountains",0.888779284833539,0.68691186530485,-0.0097821574406817,2779,0.00639999999999996,14712,-438,433,1757,5.7,2,1.7,-1.9,-1.90000000000001,-2.9,632,3526,2755,4935,27693,5233,22460
"0600000US4100392142",-123.141017851825,44.671215547785,2,0.810418612239233,"Cool Temperate Moist Forest on Mountains",0.525189722958764,-0.682291177023743,0.336136375012796,568,0.0127,23021,22,104,370,5.09999999999999,-8.2,2.40000000000001,-9.2,19.1,2.1,117,856,1324,1376,3526,882,2644
"0600000US4100392176",-123.426521207914,44.6471134532219,4,0.731840261801883,"Cool Temperate Moist Forest on Mountains",0.939056728856899,0.0935953241857971,-0.497227812684481,257,0.0689,2875,-45,80,48,2.3,2.3,0.799999999999997,-0.299999999999997,-9.09999999999999,-2.7,152,171,328,191,1602,371,1231
"0600000US4100393009",-123.327958351441,44.3851705128957,5,0.512660267657877,"Cool Temperate Moist Forest on Mountains",0.488529855148456,-0.364741618591249,0.287654133558701,-59,0.00480000000000003,12921,134,35,10,9.6,-9.2,1.10000000000001,-13.2,8.8,-5,15,21,115,218,1557,324,1233
"0600000US4100393077",-123.558223315573,44.4052028264072,2,0.991352450780934,"Cool Temperate Moist Forest on Mountains",0.371676136363636,-0.861377839061283,0.301650581585958,158,-0.000700000000000034,23094,124,23,31,1.09999999999999,4.3,4.3,-0.599999999999998,2.9,0.699999999999999,-25,222,349,229,1340,336,1004
